NomeProdotto,RecensioneMedia
"Prodotto 630",5.0000
"Prodotto 48",5.0000
"Prodotto 3903",5.0000
"Prodotto 2470",5.0000
"Prodotto 2226",5.0000
"Prodotto 3154",5.0000
"Prodotto 1309",5.0000
"Prodotto 1520",5.0000
"Prodotto 3058",5.0000
"Prodotto 1976",5.0000
"Prodotto 4185",5.0000
"Prodotto 1295",5.0000
"Prodotto 910",5.0000
"Prodotto 1958",5.0000
"Prodotto 690",5.0000
"Prodotto 1904",5.0000
"Prodotto 3536",5.0000
"Prodotto 70",5.0000
"Prodotto 4024",5.0000
"Prodotto 3171",5.0000
"Prodotto 1801",5.0000
"Prodotto 2505",5.0000
"Prodotto 3071",5.0000
"Prodotto 1331",5.0000
"Prodotto 2690",5.0000
"Prodotto 2879",5.0000
"Prodotto 1902",5.0000
"Prodotto 1930",5.0000
"Prodotto 615",5.0000
"Prodotto 4161",5.0000
"Prodotto 3605",5.0000
"Prodotto 4358",5.0000
"Prodotto 1844",5.0000
"Prodotto 562",5.0000
"Prodotto 3804",5.0000
"Prodotto 1669",5.0000
"Prodotto 2399",5.0000
"Prodotto 97",5.0000
"Prodotto 3306",5.0000
"Prodotto 260",5.0000
"Prodotto 520",5.0000
"Prodotto 3441",5.0000
"Prodotto 1493",5.0000
"Prodotto 3330",5.0000
"Prodotto 3514",5.0000
"Prodotto 3193",5.0000
"Prodotto 1716",5.0000
"Prodotto 3110",5.0000
"Prodotto 3217",5.0000
"Prodotto 663",5.0000
"Prodotto 2306",5.0000
"Prodotto 500",5.0000
"Prodotto 820",5.0000
"Prodotto 2766",5.0000
"Prodotto 1651",5.0000
"Prodotto 4228",5.0000
"Prodotto 2597",5.0000
"Prodotto 4055",5.0000
"Prodotto 4450",5.0000
"Prodotto 4114",5.0000
"Prodotto 4264",5.0000
"Prodotto 2100",5.0000
"Prodotto 1052",5.0000
"Prodotto 237",5.0000
"Prodotto 2033",5.0000
"Prodotto 3998",5.0000
"Prodotto 2753",5.0000
"Prodotto 879",5.0000
"Prodotto 188",5.0000
"Prodotto 673",5.0000
"Prodotto 4302",5.0000
"Prodotto 1213",5.0000
"Prodotto 1667",5.0000
"Prodotto 3043",5.0000
"Prodotto 907",5.0000
"Prodotto 2053",5.0000
"Prodotto 4155",5.0000
"Prodotto 2122",5.0000
"Prodotto 2362",5.0000
"Prodotto 4466",5.0000
"Prodotto 3378",5.0000
"Prodotto 3250",5.0000
"Prodotto 2021",5.0000
"Prodotto 2539",5.0000
"Prodotto 1541",5.0000
"Prodotto 1241",5.0000
"Prodotto 1762",5.0000
"Prodotto 2625",5.0000
"Prodotto 4255",5.0000
"Prodotto 3623",5.0000
"Prodotto 2508",5.0000
"Prodotto 1452",5.0000
"Prodotto 1093",5.0000
"Prodotto 3755",5.0000
"Prodotto 3899",5.0000
"Prodotto 2794",5.0000
"Prodotto 2868",5.0000
"Prodotto 2789",5.0000
"Prodotto 2892",5.0000
"Prodotto 1926",5.0000
"Prodotto 808",5.0000
"Prodotto 1008",5.0000
"Prodotto 4176",5.0000
"Prodotto 405",5.0000
"Prodotto 2397",5.0000
"Prodotto 3083",5.0000
"Prodotto 2845",5.0000
"Prodotto 574",5.0000
"Prodotto 2511",5.0000
"Prodotto 162",5.0000
"Prodotto 1159",5.0000
"Prodotto 3081",5.0000
"Prodotto 888",5.0000
"Prodotto 1840",5.0000
"Prodotto 637",5.0000
"Prodotto 517",5.0000
"Prodotto 3119",5.0000
"Prodotto 3251",5.0000
"Prodotto 795",5.0000
"Prodotto 1033",5.0000
"Prodotto 525",5.0000
"Prodotto 403",5.0000
"Prodotto 2962",5.0000
"Prodotto 4345",5.0000
"Prodotto 1124",5.0000
"Prodotto 3747",5.0000
"Prodotto 4322",5.0000
"Prodotto 3669",5.0000
"Prodotto 3485",5.0000
"Prodotto 2887",5.0000
"Prodotto 573",5.0000
"Prodotto 3188",5.0000
"Prodotto 2309",5.0000
"Prodotto 926",5.0000
"Prodotto 3152",5.0000
"Prodotto 2944",5.0000
"Prodotto 3596",5.0000
"Prodotto 1877",5.0000
"Prodotto 2174",5.0000
"Prodotto 2688",5.0000
"Prodotto 3984",5.0000
"Prodotto 1686",5.0000
"Prodotto 2773",5.0000
"Prodotto 4206",5.0000
"Prodotto 3822",5.0000
"Prodotto 1179",5.0000
"Prodotto 3744",5.0000
"Prodotto 140",5.0000
"Prodotto 817",5.0000
"Prodotto 1160",5.0000
"Prodotto 3389",5.0000
"Prodotto 3603",5.0000
"Prodotto 1617",5.0000
"Prodotto 1398",5.0000
"Prodotto 666",5.0000
"Prodotto 3834",5.0000
"Prodotto 3340",5.0000
"Prodotto 396",5.0000
"Prodotto 3371",5.0000
"Prodotto 4017",5.0000
"Prodotto 87",5.0000
"Prodotto 1277",5.0000
"Prodotto 259",5.0000
"Prodotto 2629",5.0000
"Prodotto 2112",5.0000
"Prodotto 548",5.0000
"Prodotto 1599",5.0000
"Prodotto 3936",5.0000
"Prodotto 3319",5.0000
"Prodotto 3053",5.0000
"Prodotto 1611",5.0000
"Prodotto 927",5.0000
"Prodotto 315",5.0000
"Prodotto 1381",5.0000
"Prodotto 459",5.0000
"Prodotto 2015",5.0000
"Prodotto 4330",5.0000
"Prodotto 4005",5.0000
"Prodotto 4214",5.0000
"Prodotto 3957",5.0000
"Prodotto 682",5.0000
"Prodotto 3479",5.0000
"Prodotto 1397",5.0000
"Prodotto 2028",5.0000
"Prodotto 3073",5.0000
"Prodotto 3076",5.0000
"Prodotto 3807",5.0000
"Prodotto 3815",5.0000
"Prodotto 1259",5.0000
"Prodotto 1539",5.0000
"Prodotto 1857",5.0000
"Prodotto 2289",5.0000
"Prodotto 1511",5.0000
"Prodotto 1335",5.0000
"Prodotto 3637",5.0000
"Prodotto 1084",5.0000
"Prodotto 2881",5.0000
"Prodotto 2339",5.0000
"Prodotto 1959",5.0000
"Prodotto 707",5.0000
"Prodotto 1367",5.0000
"Prodotto 4269",5.0000
"Prodotto 3039",5.0000
"Prodotto 2800",5.0000
"Prodotto 4144",5.0000
"Prodotto 9",5.0000
"Prodotto 1982",5.0000
"Prodotto 3713",5.0000
"Prodotto 460",5.0000
"Prodotto 2676",5.0000
"Prodotto 1115",5.0000
"Prodotto 1055",5.0000
"Prodotto 3453",5.0000
"Prodotto 1041",5.0000
"Prodotto 2839",5.0000
"Prodotto 1610",5.0000
"Prodotto 155",5.0000
"Prodotto 2105",5.0000
"Prodotto 2605",5.0000
"Prodotto 686",5.0000
"Prodotto 830",5.0000
"Prodotto 3235",5.0000
"Prodotto 3827",5.0000
"Prodotto 3668",5.0000
"Prodotto 2182",5.0000
"Prodotto 3313",5.0000
"Prodotto 1653",5.0000
"Prodotto 4037",5.0000
"Prodotto 1349",5.0000
"Prodotto 4518",5.0000
"Prodotto 4681",5.0000
"Prodotto 4812",5.0000
"Prodotto 4605",5.0000
"Prodotto 4871",5.0000
"Prodotto 4628",5.0000
"Prodotto 4585",5.0000
"Prodotto 4573",5.0000
"Prodotto 4782",5.0000
"Prodotto 4721",5.0000
"Prodotto 4819",5.0000
"Prodotto 4621",5.0000
"Prodotto 4725",5.0000
"Prodotto 4671",5.0000
"Prodotto 4683",5.0000
"Prodotto 4892",5.0000
"Prodotto 4847",5.0000
"Prodotto 4703",5.0000
"Prodotto 4614",5.0000
"Prodotto 4890",5.0000
